MIDDLE FINGER TIP,RING FINGER TIP,PINKY TIP,4,1,start
MIDDLE FINGER TIP,RING FINGER TIP,PINKY TIP,4,1,start
RING FINGER TIP,PINKY TIP,3,2,stop
RING FINGER TIP,PINKY TIP,2,3,stop
PINKY TIP,2,3,WATER_ON
PINKY TIP,2,3,WATER_ON
0,5,WATER_OFF
